Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	H:\24-104\24-104_DIA_7.d	H:\24-104\24-104_DIA_8.d	H:\24-104\24-104_DIA_9.d	H:\24-104\24-104_DIA_10.d	H:\24-104\24-104_DIA_11.d	H:\24-104\24-104_DIA_12.d
CaalfMp01	CaalfMp01	COX2	COX2		387104	357647	396534	232716	278469	288805
CaalfMp03	CaalfMp03	NAD1	NAD1		5043.96	2966.27	1762.48		3467.87	4159.68
CaalfMp04;CaalfMp15	CaalfMp15;CaalfMp04	COX3A;COX3B	COX3A;COX3B		8963.69	12255.6	11536.6	6362.93	10542.5	8873.82
CaalfMp08	CaalfMp08	COX1	COX1		152104	196259	36447.4	25860.1	49199.5	261641
CaalfMp08.2	CaalfMp08.2	CaalfMp08.2	CaalfMp08.2		21040.5	17425.1	20970.9	13937.4	20631.4	18132.6
CaalfMp11.1	CaalfMp11.1	CaalfMp11.1	CaalfMp11.1		14638.2	17310.8	17851.3	9735.84	14665.6	13615.3
CaalfMp13	CaalfMp13	NAD5	NAD5		21659.8	19434.2	25842.1	9059.88	18731.9	20572.2
orf19.100	orf19.100	orf19.100	orf19.100		7517.4	4829.67	8356.47	13076	9053.91	11485
orf19.1002	orf19.1002	orf19.1002	orf19.1002		5241.09	4655.03	5851.05	5596.63	8055.37	6680.39
orf19.1007	orf19.1007	KCS1	KCS1		10252.1	7847.93	9858.6	6980.35	6827.44	8247.3
orf19.1010	orf19.1010	MNT3	MNT3		2439.13	3032.73	4002.87	2482.4	4617.36	4749.91
orf19.1011	orf19.1011	MNN21	MNN21		6674.93	6732.97	7592.91	4303.09	6666.14	6588.5
orf19.1012	orf19.1012	orf19.1012	orf19.1012		28556.9	21809.8	16439.1	20137.5	29271.2	55460
orf19.102	orf19.102	orf19.102	orf19.102		23542.1	23701.7	22329.8	12713.7	11421.3	12171.8
orf19.1026	orf19.1026	orf19.1026	orf19.1026		19674.1	19366.6	24600.9	21222.1	27276.9	26797.5
orf19.1026.1	orf19.1026.1	orf19.1026.1	orf19.1026.1		21625.7	31168	2095.37	2874.25	1417.08	15998.5
orf19.1027	orf19.1027	PDR16	PDR16		142026	128276	143070	144548	118888	149264
orf19.1029	orf19.1029	RPP1	RPP1		9932.82	8279.62	10158.3	6032.64	9377.52	9381.48
orf19.1030	orf19.1030	orf19.1030	orf19.1030		283589	293392	282905	232049	208692	186095
orf19.1031	orf19.1031	HMG1	HMG1		63790.7	48476.3	48881.8	28992.5	45831.7	46926
orf19.1032	orf19.1032	SKO1	SKO1		21263.3	24938.7	25745.1	20167.5	17996.8	18974.4
orf19.1033	orf19.1033	STR2	STR2		31110.7	25100.9	26031.8	22104.8	25705	23771.4
orf19.1034	orf19.1034	orf19.1034	orf19.1034		28246.2	17215.9	16606.1	22643.4	23235.7	25753.4
orf19.1035	orf19.1035	WAR1	WAR1		7485.9	5726.33	5406.71	4085.29	5229.81	7097.34
orf19.1036	orf19.1036	MNS1	MNS1		69406.8	66509.3	72401.3	123709	99380.6	109064
orf19.1037	orf19.4482;orf19.1037	orf19.1037	orf19.1037		16994.6	16937.8	17747.8	19916.9	19721.5	22515.5
orf19.1039	orf19.1039	BET4	BET4		14840.2	15511.2	15357.4	20451.9	29975.8	23029.9
orf19.1040	orf19.1040	MAD2	MAD2		29546.8	37048.7	33693	59831.9	62000	60140.5
orf19.1041	orf19.1041	orf19.1041	orf19.1041		5108.71	4494.43	6389.71	3590.66	12148.8	15279.9
orf19.1042	orf19.1042	POR1	POR1		2.12707e+06	1.96658e+06	2.10649e+06	1.72943e+06	1.6667e+06	1.79178e+06
orf19.1043	orf19.1043	orf19.1043	orf19.1043		20031.5	15483.8	16037.1	10749	16772.6	17895.2
orf19.1045	orf19.1045	orf19.1045	orf19.1045		8358.86	6391.47	8584.6	15107.3	12072	10122.7
orf19.1047	orf19.1047	ERB1	ERB1		99956.3	98523.1	111472	71545.3	64941.6	71342.1
orf19.1048	orf19.4476;orf19.1048	IFD6	IFD6		23058.2	21015.5	20516.1	26242.5	24651.8	27049.1
orf19.1049	orf19.1049	orf19.1049	orf19.1049		57351.6	53574	59223.5	66006.1	45160.6	55520.3
orf19.105	orf19.99;orf19.105	HAL22	HAL22		121053	127433	109176	111771	106622	120779
orf19.1050	orf19.1050	orf19.1050	orf19.1050		5313.43	5804.26	6058.01	5398.43	6399.95	6756.82
orf19.1051	orf19.1051	HTA2	HTA2		174389	193559	295150	116050	101136	125402
orf19.1052	orf19.6925;orf19.1052	orf19.1052	orf19.1052		4.33367e+06	4.25208e+06	3.77902e+06	2.1407e+06	1.82056e+06	1.68849e+06
orf19.1053	orf19.1053	orf19.1053	orf19.1053		4413.65	3635.67	4128.95	3196.11	5901.66	3738.06
orf19.1054	orf19.1054	orf19.1054	orf19.1054		7448.55	5200.65	5149.56	5650.08	8793.16	10837.6
orf19.1055	orf19.1055	CDC3	CDC3		454700	434616	495664	649731	547827	589580
orf19.1057	orf19.1057	orf19.1057	orf19.1057		32543.8	39420	43312.3	48028.8	35872.4	32758.1
orf19.1058	orf19.1058	orf19.1058	orf19.1058		339519	398621	440802	1.29525e+06	988819	1.0377e+06
orf19.1059	orf19.1059;orf19.1854	HHF1	HHF1		628667	450028	367092	133318	209818	213834
orf19.1061;orf19.1853	orf19.1853;orf19.1061;orf19.6791	HHT2;HHT21	HHT2;HHT21		98433.9	89100	96938.1	15056.5	24361.9	78084.7
orf19.1064	orf19.1064	ACS2	ACS2		1.26877e+06	1.0385e+06	1.1124e+06	374884	371665	395958
orf19.1065	orf19.1065	SSA2	SSA2		2.47314e+06	2.26113e+06	2.44143e+06	2.2223e+06	2.14506e+06	2.31079e+06
orf19.1066	orf19.1066	GIG1	GIG1		7355.81	7582.62	7587.97	11222.8	11277.5	8690.84
orf19.1067	orf19.1067	GPM2	GPM2		29480.6	24804.1	30500.8	41775.5	35783.4	33793.2
orf19.1069	orf19.1069	RPN4	RPN4		5756.83	7628.39	7628.41	93812.7	76444.2	76178.1
orf19.107	orf19.107	orf19.107	orf19.107		26746.4	23539	18456.6	9486.05	21539.6	18090.8
orf19.1075	orf19.1075	orf19.1075	orf19.1075		24937.1	24194	17691.3	25736.4	18144.5	20463.2
orf19.1077	orf19.1077	ATM1	ATM1		6954.46	5951.86	10453.6	4036.94	5859.18	8848.77
orf19.1078	orf19.1078	HBR2	HBR2		103199	101347	106356	460388	390824	362611
orf19.1082	orf19.1082	orf19.1082	orf19.1082		15459.6	23644	21327.8	18573.5	16999.4	17219.5
orf19.1082.1	orf19.1082.1	orf19.1082.1	orf19.1082.1		284364	245194	255711	178916	167682	161906
orf19.1083	orf19.1083	orf19.1083	orf19.1083		43027.9	45546.6	56765	48839.1	43235.1	42807.4
