Protein.IDs	Fasta.headers	Razor...unique.peptides.Prn1_1	Razor...unique.peptides.Prn1_2	Razor...unique.peptides.Prn1_3	Razor...unique.peptides.Prn1_4	Razor...unique.peptides.Prn1_H2O2_1	Razor...unique.peptides.Prn1_H2O2_2	Razor...unique.peptides.Prn1_H2O2_3	Razor...unique.peptides.Prn1_H2O2_4	Razor...unique.peptides.WT_H2O2_1	Razor...unique.peptides.WT_H2O2_2	Razor...unique.peptides.WT_H2O2_3	Razor...unique.peptides.WT_H2O2_4	Razor...unique.peptides.WT1	Razor...unique.peptides.WT2	Razor...unique.peptides.WT3	Razor...unique.peptides.WT4	Unique.peptides.Prn1_1	Unique.peptides.Prn1_2	Unique.peptides.Prn1_3	Unique.peptides.Prn1_4	Unique.peptides.Prn1_H2O2_1	Unique.peptides.Prn1_H2O2_2	Unique.peptides.Prn1_H2O2_3	Unique.peptides.Prn1_H2O2_4	Unique.peptides.WT_H2O2_1	Unique.peptides.WT_H2O2_2	Unique.peptides.WT_H2O2_3	Unique.peptides.WT_H2O2_4	Unique.peptides.WT1	Unique.peptides.WT2	Unique.peptides.WT3	Unique.peptides.WT4	Intensity.Prn1_1	Intensity.Prn1_2	Intensity.Prn1_3	Intensity.Prn1_4	Intensity.Prn1_H2O2_1	Intensity.Prn1_H2O2_2	Intensity.Prn1_H2O2_3	Intensity.Prn1_H2O2_4	Intensity.WT_H2O2_1	Intensity.WT_H2O2_2	Intensity.WT_H2O2_3	Intensity.WT_H2O2_4	Intensity.WT1	Intensity.WT2	Intensity.WT3	Intensity.WT4	Only.identified.by.site	Reverse	Potential.contaminant
CON__P00761		4	4	4	4	4	3	4	4	4	4	4	4	5	4	4	4	4	4	4	4	4	3	4	4	4	4	4	4	5	4	4	4	11496000000	8327999999.999999	7137499999.999999	6225499999.999999	7379299999.999999	8424499999.999999	6600899999.999999	9526000000	9792000000	14129000000	9643100000	12269000000	19884000000	8973800000	7634799999.999999	11057000000			+
CON__P02666		0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	45126000	0	0	0	22250000	0	0	0	0			+
CON__P02768-1;CON__P02769		1	1	0	0	1	1	0	1	1	1	1	0	1	1	1	0	1	1	0	0	1	1	0	1	1	1	1	0	1	1	1	0	11692000	7042100	0	0	59191000	322750000	0	0	10861000	10623000	14448000	0	32692000	30833000	19086000	0			+
CON__P04258		1	1	1	1	0	1	1	2	1	0	1	2	1	1	1	2	1	1	1	1	0	1	1	2	1	0	1	2	1	1	1	2	55683000	38780000	37443000	14739000	0	41611000	38116000	60802000	78609000	0	12713000	58879000	30479000	34990000	1060000	36222000			+
CON__P04264		0	0	3	2	0	0	1	0	0	4	1	1	5	0	0	1	0	0	1	0	0	0	0	0	0	2	0	0	4	0	0	0	0	0	50017000	0	0	0	5792800	0	0	29613000	10249000	6919500	89003000	0	0	10222000			+
CON__P08779;CON__P02533;CON__A2A4G1;CON__P08727;CON__Q3ZAW8;CON__Q04695;CON__Q9QWL7;CON__Q6IFX2;CON__Q9Z2K1;CON__P19001;CON__O76013;CON__O76014;CON__Q7Z3Y9;CON__Q497I4;CON__O76015;CON__A2AB72;CON__Q14532;CON__P08730-1;CON__P05784;CON__A2A5Y0;CON__REFSEQ:XP_986630	;;;;;;;;;	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	61956000	90910000	0	0	0	0	4281200	0	0	0	0	0	0	0	0	+		+
CON__P13645;CON__P02535-1;CON__Q7Z3Z0		0	0	4	0	0	0	0	0	1	3	2	1	6	0	0	1	0	0	3	0	0	0	0	0	1	2	1	1	3	0	0	1	0	0	71760000	0	0	0	0	0	0	23221000	2301600	0	128100000	0	0	7733400			+
CON__P15636		8	7	7	7	5	5	4	6	6	7	6	7	8	7	6	4	8	7	7	7	5	5	4	6	6	7	6	7	8	7	6	4	24462000000	13686000000	15544000000	9590600000	13074000000	17733000000	9279900000	14324000000	21925000000	24004000000	17813000000	18269000000	36361000000	15573000000	16820000000	20196000000			+
CON__P35527		0	0	0	0	0	0	0	0	0	5	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	46377000	0	0	0	0	0	0			+
CON__P35908v2;CON__P35908;CON__Q3TTY5;CON__Q8VED5;CON__O95678;CON__Q7Z794;CON__P13647;CON__Q6NXH9	;	0	1	3	0	1	1	1	0	1	1	1	0	10	0	0	0	0	1	1	0	1	1	0	0	1	1	1	0	4	0	0	0	0	1428600	32430000	0	2579800	0	0	0	1770500	3365600	952670	0	210040000	0	0	0			+
